Time;Time in ms;gx;gy;gz;ax;ay;az;magx;magy;magz;baro;head;angx;angy;debug1;debug2;debug3;debug4;GPS_distanceToHome;GPS_directionToHome;GPS_altitude;GPS_fix;GPS_numSat;GPS_speed;GPS_update;GPS_latitude;GPS_longitude;cycleTime;i2cError;rcThrottle;rcYaw;rcRoll;rcPitch;rcAUX1;rcAUX2;rcAUX3;rcAUX4;Motor1;Motor2;Motor3;Motor4;Motor5;Motor6;Motor7;Motor8;
2014_02_22_19_10_42;1393092642771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642802;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642820;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2014_02_22_19_10_42;1393092642908;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
